morpheme;variant;key;type;transitivity;nature;number;compositionRoot;plural;intransSuffix;transSuffix;antipassive;engMean;freMean;source;dialect;cf;END
nui;;1;v;i;;;;;;;;to emerge, to appear;émerger, apparaître;;;;.
nujuaq;;1;v;i;a;;;;;;;to be shy or easily startled;être timide ou facilement intimidé;;;;.
nujuit;;1;v;i;a;;;;;;;to be tame;être apprivoisé;;;;.
nuktaq;;1;v;i;;;;;;;;to veer repeatedly from one direction to another;changer de direction de façon répétée;;;;.
nuktiq;;1;v;i;;;;;;;;to change one's abode or camping site;changer de campement;;;;.
nulluaq;;1;v;i;;;;;;nil;;to wave s.o. away by moving arm up and down at one's side;écarter, éloigner qqn d'un geste en bougeant le bras de haut en bas sur le côté;;;;.
nuluraq;;1;v;i;;;;;;nil;;to beckon s.o. to come by waving hand [WCHB];faire signe à qqn de venir en envoyant la main [WCHB];;;;.
numaa;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to be bored or frustrated;s'ennuyer;;;;
nuqqaq;;1;v;i;;;;;;;;to stop doing s.t.;arrêter de faire qqch.;;;;.
nuqqit;;1;v;i;;;;;;;;to hold onto the line to prevent s.t. getting away;tenir la ligne pour empêcher qqch. de se sauver;;;;.
nurraq;;1;v;i;;;;;;;;to bag a fawn or calf;tuer un faon ou un veau;;;;.
nut;;1;v;i;;;;;;;;(1) to change direction, to veer, speaking of the wind (2) to disappear due to ice forming between itself and the land, speaking of the floe edge;(1) changer de direction, virer (le vent) (2) disparaître (le bord de la banquise, lorsque la glace se forme entre le rivage et la banquise);;;;.
nutik;;1;v;i;;;;;;;;to snap or crackle or crack;claquer, craquer;;;;.
nuut;;1;v;i;;;;;;;;to move to another place;se déplacer à un autre endroit;;;;.
nuvirsaq;;1;v;i;;;;;;nil;;to knit (trans.: s.t.);tricoter (trans.: qqch.);;;;.
nuvuja;;1;v;i;;;;;;;;to be overcast, cloudy;être couvert, nuageux;;;;.
paa;;1;v;i;;;;;;nil;;to fight;;;;;
paallak;;1;v;i;;;;;;;;to fall down;tomber;;;;.
paaq;;1;v;i;;;;;;nil;;to meet (trans.: s.o.);rencontrer (trans.: qqn);;;;.
paarnguq;;1;v;i;;;;;;;;to crawl (trans.: after s.t.);ramper (trans.: après qqch.);;;;.
pagvisak;;1;v;i;;;;;;nil;;to rummage (trans.: in s.t.);farfouiller, fouiller (trans.: qqch., dans qqch.);;;;.
pai;;1;v;i;;;;;;ri/1vv;;to stay home;;;;;
paijjarluk;;1;v;i;;;;;;;;to overlap, speaking of two things;se chevaucher, en parlant de deux choses;;;;.
pailat;;1;v;i;;;;;;;;to boil by being heated, speaking of water;bouiller en étant chauffée (eau);;;;.
pajuk;;1;v;i;;;;;;nil;;to give part of one's kill to s.o.;;;;;
pakallak;;1;v;i;;;;;;;;to run about from one thing to another in a heedless or incoherent manner;courir d'une chose à une autre de manière incohérente;;;;.
pakinik;;1;v;i;;;;;;nil;;to draw s.t. in towards oneself;;;;;
paktak;;1;v;i;;;;;;;;to play cards [WCHB];;;;;
paktiq;;1;v;i;a;;;;;;;to have bad skin, acne, impetago;avoir une mauvaise peau, de l'acné, de l'impétigo;;;;.
palaq;;1;v;i;;;;;;;;to get better, to improve;aller mieux, s'améliorer;;;;.
paliaq;;1;v;i;;;;;;;;to toast or dry over flame or fire;rôtir ou sécher au-dessus d'une flamme ou d'un feu;;;;.
paliq;;1;v;i;;;;;;;;to die out, speaking of a flame;s'éteindre (une flamme);;;;.
palluq;;1;v;i;;;;;;;;to lie on the belly;être étendu sur le ventre;;;;.
palungatti;;1;v;i;a;;;;;;;to have floppy ears;avoir des oreilles tombantes;;;;.
pamaq;;1;v;i;;;;;;;;to lie on the belly;être étendu sur le ventre;;;;.
pammiuq;;1;v;i;a;;;;;;;to be packed tightly;;;;;
panga;;1;v;i;;;;;;;;to gallop;galoper;;;;.
paniq;;1;v;i;a;;;;;;;to be dry;être sec;;;;.
parla;;1;v;i;;;;;;nil;;to rush to be the first to get s.t.;se dépêcher pour être le premier à avoir, obtenir qqch.;;;;.
parnaq;;1;v;i;;;;;;;;to get ready for a trip;se préparer pour un voyage;;;;.
paruq;;1;v;i;;;;;;nil;;to paddle s.t. (boat, canoe,kayak, etc.);pagayer (trans.: qqch.: embarcation);;;;.
pasa;pasi pasik pasak;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to suspect, to accuse s.o.;suspecter, accuser qqn;;;;.
patajuk;;1;v;i;;;;;;nil;;to feel s.t. over with the hands;sentir (trans.: qqch.) avec les mains;;;;.
patanga;;1;v;i;;;;;;;;to feel the cold easily;;;;;
patik;;2;v;i;;;;;;;;to freeze completely;geler complètement;;;;.
patiq;;1;v;i;;;;;;;;to eat marrow from the bone;manger la moëlle des os;;;;.
patuk;;1;v;i;a;;;;;;;to be covered with hoarfrost;être couvert de givre;;;;.
pauk;;1;v;i;a;;;;;;;to be sooty, dusty;être couvert de poussière, de suie;;;;.
paumit;;1;v;i;;;;;;;;to itch lightly;;;;;
paupsuaq;;1;v;i;;;;;;nil;;to tickle (trans.: s.o.) lightly;chatouiller légèrement (trans.: qqn);;;;.
pi;;1;v;i;;;;;;nil;;to do s.t.;;;;;
piak;;1;v;i;a;;;;;;;to be smooth and frictionless;être lisse et sans adhérence;;;;.
piala;;1;v;i;a;;;;;;;to be quick, light, deft in one's movement;être rapide dans ses mouvements;;;;.
piblikanaq;;1;v;i;;;;;;nil;;to grimace or jeer at s.o.;faire une grimace à qqn;;;;.
pigaaq;;1;v;i;;;;;;;;to stay up late;rester debout tard;;;;.
pigagaaq;;1;v;i;a;;;;;;;to not be able to do s.t. completely or well;ne pas être capable de faire qqch. complètement ou bien;;;;.
piggu;;1;v;i;a;;;;;;;to be strong [Natt.];être fort [Natt.];;Natsilik;;.
pigjuq;;1;v;i;;;;;;;;to move avay from the others, embarrassed by what they are saying or doing;s'éloigner des autres, embarassé, gêné de ce qu'ils disent ou font;;;;.
pigliq;;1;v;i;;;;;;;;to bounce;;;;;
pijjarik;;1;v;i;a;;;;;;;to be a lively or active person;;;;;
pijuaq;;1;v;i;;;;;;;;to travel in a north-east direction;voyager vers le nord-est;;;;.
piki;;1;v;i;;;;;;;;to dive down suddenly with characteristic flip of tail in the air;plonger soudainement avec un coup de queue caractéristique dans les airs;;;;.
pikiaq;;1;v;i;;;;;;;;to exit suddenly;sortir soudainement;;;;.
pikiqqa;;1;v;i;;;;;;;;to struggle to get away;se débattre pour se sauver, se libérer;;;;.
piktau;;1;v;i;a;;;;;;;to be good, pleasant, to one's liking;être bon, plaisant, à son goût;;;;.
pillatti;pillitti;1;v;i;a;;;;;;;to be sleepy;;;;;
pilluk;;1;v;i;;;;;;;;to slide off or out of joint, or off a precarious balance;glisser de son articulation;;;;
pingik;;1;v;i;;;;;;;;to worry;s'inquiéter;;;;.
piqanniq;;1;v;i;a;;;;;;;to be a pleasant, considerate or helpful person;;;;;
piqqaaq;;1;v;i;a;;;;;;;to be stiff or rigid;être rigide;;;;.
piqqaq;;1;v;i;a;;;;;;;to be responsible for something that happened;être responsable de qqch. qui est arrivé;;;;.
pirjaallaq;;1;v;i;;;;;;;;to jolt or jerk in one's movement;se crisper, tressauter d'un coup;;;;.
pirliq;;1;v;i;;;;;;;;to die of hunger or starvation;mourir de faim, d'inanition;;;;.
pirluk;;1;v;i;;;;;;;;to have a miscarriage;faire une fausse couche;;;;.
pirpallaq;;1;v;i;;;;;;;;to make a noise with the clatter of putting down or placing or dropping objects;faire un bruit de cliquetis ou de fracas en déposant ou en laissant tomber qqch.;;;;.
pirpaluk;;1;v;i;;;;;;;;to make a noise with the movement of objects;faire un bruit en déplaçant des objets;;;;.
pirraq;;1;v;i;;;;;;nil;;to make braids, plaits;;;;;
pirruaqi;;1;v;i;;;;;;;;to do s.t. by accident;;;;;
pirsiq;;1;v;i;;;;;;;;to blizzard;;;;;
piruq;;1;v;i;;;;;;;;to grow;grandir;;;;
pisuk;;1;v;i;;;;;;nil;;to walk (trans.: on s.t.);marcher (trans.: sur qqch.);;;;.
pitaq;;1;v;i;a;;;;;;;to be punctured;;;;;
pittiq;;1;v;i;a;;;;;;;to be furnished with a heavy cord or tongue;être équipé d'une corde épaisse;;;;.
pituraq;;1;v;i;;;;;;;;to swim to the open water of the floe edge, speaking of a sea mammal;nager vers le côté de la banquise tourné vers le large (mammifère marin);;;;.
piturniq;;1;v;i;;;;;;;;to be flood time, time of  high tides;être le temps des grandes marées;;;;.
piu;;1;v;i;a;;;;;;;to be good;être bon;;;;.
pivik;;1;v;i;;;;;;;;to trie hard to do or to get s.t.;essayer fort de faire ou d'avoir qqch.;;;;.
pua;;1;v;i;;;;;;;;to make bubbles due to breathing or motion, speaking of a marine creature;faire des bulles en respirant ou en se déplaçant (créature marine);;;;.
publaq;;1;v;i;a;;;;;;;to be inflated;être gonflé;;;;.
pui;;1;v;i;;;;;;;;to come up to breathe, speaking of a marine creature;remonter pour respirer (créature marine);;;;.
puiguq;;1;v;i;;;;;;nil;;to forget (trans.: s.t.);oublier (trans.: qqch.);;;;.
pujjuq;;1;v;i;a;;;;;;;to have just got a hole in the sole of the boot;venir tout juste d'avoir un trou dans la semelle de sa botte;;;;.
pukta;;1;v;i;;;;;;;;to float on the water;flotter sur l'eau;;;;.
pukuk;;1;v;i;;;;;;nil;;to gobble or swallow s.t. whole;avaler qqch. tout rond;;;;.
pula;;1;v;i;;;;;;;;to go in;;;;;
pulaaq;;1;v;i;;;;;;nil;;to visit (trans.: s.o.);être en visite;;;;
pungaq;;1;v;i;;;;;;;;to nod one's head up and down;;;;;
puptuq;;1;v;i;;;;;;;;to rise, speaking of the bread;lever (le pain);;;;.
purrilaaq;;1;v;i;;;;;;;;to bubble naturally;faire naturellement des bulles;;;;.
pusikkaq;;1;v;i;;;;;;;;to fall forward hitting one's face;tomber par devant en se heurtant le visage;;;;.
puukaq;;1;v;i;;;;;;;;to bump as going over rough ground, speaking of a sled or vehicle;rebondir en se déplaçant sur un terrain rude (un traîneau, un véhicule);;;;.
puut;;1;v;i;;;;;;;;to fall down limp;tomber le corps mou;;;;.
puviqquk;;1;v;i;;;;;;;;to feel the pinch or stinging sensation of touching s.t. cold;ressentir la sensation de piqûre en touchant qqch. de froid;;;;.
qaagursuq;;1;v;i;;;;;;;;to cry, speaking of the sea-gull;crier (le goéland);;;;.
qaat;;1;v;i;;;;;;;;to move out, speaking of the sea ice;s'éloigner (glace de mer);;;;.
qagaaq;;1;v;i;;;;;;;;to have white-caps;;;;;
qagaura;;1;v;i;;;;;;;;to die from burst lungs;mourir à bout de souffle;;;;.
qaggi;;1;v;i;;;;;;;;to celebrate;;;;;
qai;;1;v;i;;;;;;;;(1) to come (2) to be brought;(1) venir (2) être apporté;;;;.
qajjujjau;;1;v;i;a;;;;;;;to be stranded on the moving ice;être échoué, laissé en plan sur la glace flottante;;;;.
qaki;;1;v;i;;;;;;;;to climp up on the sea ice, speaking of the seal or walrus;sauter sur la glace de mer (un phoque ou un morse);;;;.
qakiq;;1;v;i;a;;;;;;;to be bleached in the sun, in the air;être blanchi par le soleil, par l'air;;;;.
qakkit;;1;v;i;a;;;;;;;to be revolting to the taste or smell;être révoltant au goût ou à l'odeur;;;;.
qakuaq;qakulaaq;1;v;i;;;;;;;;to make chomping noise with jaws and teeth;mâcher bruyamment;;;;.
qakuq;;1;v;i;a;;;;;;;to be white;;;;;
qalaaq;;1;v;i;;;;;;;;to boil or bubble by being heated;bouillir ou faire des bulles en étant chauffé;;;;.
qama;;1;v;i;;;;;;;;to try to approach whales while hunting on the sea;tenter d'approcher les baleines lors de la chasse en mer;;;;.
qamaq;;1;v;i;;;;;;nil;;to call dogs to oneself;appeler les chiens à soi;;;;.
qamngui;;1;v;i;;;;;;;;to snore;ronfler;;;;.
qangaaluk;;1;v;i;;;;;;;;to fall from the ceiling, speaking of the frost;tomber du plafond (le givre);;;;.
qangalik;;1;v;i;;;;;;;;to fall from the sifter;;;;;
qangata;qangataq;1;v;i;a;;;;;;;to lift, to raise in the air;;;;;
qangiq;;1;v;i;;;;;;nil;;to go past or beyond s.o.;passer qqch.;;;;
qangivaq;;1;v;i;;;;;;;;to go ashore from boat;;;;;
qangmalliq;;1;v;i;;;;;;;;to come to trade from a distance;venir de loin pour marchander;;;;.
qanguq;;1;v;i;;;;;;;;to leave;;;;;
qanima;;1;v;i;a;;;;;;;to be sick [N. Baffin];être malade [Terre de Baffin nord];;;;.
qanit;;1;v;i;a;;;;;;;to be near, close;être près;;;;.
qannga;;1;v;i;;;;;;;;to have backed up against the solid ice, speaking of the moving ice;s'être recollé à la glace solide (la glace flottante);;;;.
qanniq;;1;v;i;;;;;;;;to be snowing;neiger;;;;.
qanuit;;1;v;i;a;;;;;;;to have s.t. wrong (problem, malfunction, etc.);avoir qqch. qui ne marche pas (un problème, un mauvais fonctionnement, etc.);;;;.
qanunga;;1;v;i;;;;;;;;to bully or torment s.o.;tyranniser, tourmenter qqn;;;;.
qapillak;;1;v;i;a;;;;;;;to be bored;;;;;
qapiq;;1;v;i;;;;;;;;to scrape the fat from the skin of a land animal;gratter le gras de la peau d'un animal terrestre;;;;.
qaptiq;;1;v;i;a;;;;;;;to be gradually extinguished, speaking of the flame or fire;être graduellement éteint (flamme ou feu);;;;.
qaqaqaala;;1;v;i;;;;;;;;to cry, speaking of the loon;crier (le canard huard);;;;.
qarjiq;;1;v;i;;;;;;nil;;to be loaded with bullets;;;;;
qaruviq;;1;v;i;a;;;;;;;to be scraped to be thinned before being put out to dry;être gratté pour être aminci avant d'être mis à sécher;;;;.
qasili;;1;v;i;a;;;;;;;to be stingy or smarty, speaking of a cut or abrasion;picoter, piquer, brûler, faire mal (une coupure, une éraflure, etc.);;;;.
qatait;;1;v;i;a;;;;;;;to have a high-pitched or shrill voice;;;;;
qatanga;qatangarik;1;v;i;a;;;;;;;to be bright and dazzling;être éclatant et éblouissant;;;;.
qatangaq;;1;v;i;a;;;;;;;to have a pale or white face;avoir le visage blanc, pâle;;;;.
qatitu;;1;v;i;a;;;;;;;to have a low-pitched or deep voice;;;;;
qattik;;1;v;i;a;;;;;;;to protrude;;;;;
qatut;;1;v;i;;;;;;;;to play the drum;jouer du tambour;;;;.
qau;;1;v;i;a;;;;;;;(1) to rise, speaking of the sun (2) to be light, bright;(1) se lever (le soleil) (2) être lumineux, brillant;;;;.
qauji;;1;v;i;;;;;;nil;;to know s.t.;;;;;
qaulluk;;1;v;i;a;;;;;;;to be white, light in colour;être de couleur blanche, de couleur pâle;;;;.
qausiq;;1;v;i;a;;;;;;;to be wet;être humide;;;;.
qaviinga;;1;v;i;;;;;;;;to squint the eyes;plisser les yeux;;;;.
qia;;1;v;i;;;;;;;;to weep;;;;;
qiarngaq;;1;v;i;a;;;;;;;to be pure black;;;;;
qibliq;;1;v;i;a;;;;;;;to glitter;;;;;
qiggiq;;1;v;i;;;;;;;;to jump or leap up in the air;sauter dans les airs;;;;.
qigluk;;1;v;i;;;;;;;;to try to revenge oneself or retaliate against s.o.;tenter de se venger contre qqn;;;;.
qika;;1;v;i;;;;;;;;to stay put;;;;;
qikiqqaq;;1;v;i;;;;;;;;to make the sound of footsteps, of sled runners, of hoofbeats;faire le bruit des pas, des patins de traîneau, des sabots, etc.;;;;.
qiksaaq;;1;v;i;a;;;;;;;to be deeply sad or melancholy;;;;;
qiksimik;;1;v;i;;;;;;;;to glance sidewards without turning the head;regarder de côté sans tourner la tête;;;;.
qiksulik;;1;v;i;;;;;;;;to protrude due to having gotten wet, speaking of the inside of a cut in meat;faire saillie parce qu'ell a été mouillée (intérieur d'une coupure dans de la viande);;;;.
qilaa;;1;v;i;;;;;;;;to commune with spirits;communiquer avec les esprits;;;;.
qilanaaq;;1;v;i;;;;;;gi/4vv;;to want s.t. badly, desperately;vouloir qqch. désespérément;;;;.
qilua;;1;v;i;;;;;;;;to twitch or jump or flip in death;avoir un spasme (en mourant);;;;
qiluk;;1;v;i;;;;;;nil;;to bark;;;;;
qimaa;;1;v;i;;;;;;nil;;to run away, to escape (trans.: from s.o.);se sauver, s'échapper (trans.: de qqn);;;;.
qimirru;;1;v;i;;;;;;nil;;to scan, scrutinize, inspect s.t.;;;;;
qimuk;;1;v;i;;;;;;nil;;to pull at a vehicle;tirer un véhicule;;;;.
qiniaq;;1;v;i;;;;;;;;to plead or beg for s.t. which is refused;supplier pour qqch. qui est refusé;;;;.
qiniq;;1;v;i;;;;;;nil;;to search for s.t.;chercher, rechercher (trans.: qqch.);;;;.
qinu;;1;v;i;;;;;;;;to plead or beg for s.t. which is refused;supplier pour qqch. qui est refusé;;;;.
qipa;qipat;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to hate s.o.;haïr qqn;;;;.
qipiluk;;1;v;i;;;;;;nil;;to refuse (trans.: s.o.);;;;;
qipsi;;1;v;i;a;;;;;;;to be unable to sleep because of the noise, the talking, etc.;être incapable de dormir à cause du bruit, de la conversation, etc.;;;;.
qiptaiq;;1;v;i;a;;;;;;;to be awake;;;;;
qipuqqa;;1;v;i;a;;;;;;;to be or get scratched in many places or extensively;être égratigné ou se faire égratigner à plusieurs endroits;;;;.
qipuqqiq;;1;v;i;a;;;;;;;to get a scratch;;;;;
qiqi;;1;v;i;a;;;;;;;to have hardened;;;;;
qirata;qirataq;1;v;i;a;;;;;;;to be frozen, solidified;être gelé, solidifié;;;;.
qirluti;;1;v;i;;;;;;;;to sink through the seal-hole and float under the ice, speaking of a shot or dead seal;couler à travers un trou et flotter sous la glace (un phoque mort ou sur lequel on a tiré);;;;.
qirngaq;;1;v;i;;;;;;;;to pray to spirits;prier les esprits;;;;.
qirngumik;qirngumigaq;1;v;i;;;;;;;;to look at s.t. through telescope or binoculars;regarder à travers un télescope ou des jumelles;;;;.
qirniq;;1;v;i;a;;;;;;;to be black;;;;;
qirsuq;;1;v;i;a;;;;;;;to have an epileptic fit;avoir une crise d'épilepsie;;;;.
qirsuq;;2;v;i;;;;;;nil;;to harden the snow or other substance around s.t. by tamping or trampling;;;;;
qirti;;1;v;i;;;;;;;;to push up or roll up one's sleeves in order to wash or cut s.t.;remonter ses manches pour laver ou couper qqch.;;;;.
qirtutaq;;1;v;i;;;;;;nil;;to strengthen or support s.t. by binding or banding it;;;;;
qissiq;;1;v;i;;;;;;;;to spit;cracher;;;;.
qitik;;1;v;i;;;;;;;;to play as a child;jouer comme un enfant;;;;.
qitut;;1;v;i;a;;;;;;;to be soft and supple;;;;;
qiu;;1;v;i;a;;;;;;;to be cold or chilly;avoir froid, geler;;;;.
qiurnit;;1;v;i;a;;;;;;;to taste of musk or sex glands;avoir le goût de musc, des glandes sexuelles;;;;.
qiviaq;;1;v;i;;;;;;nil;;to look back or around (trans.: at someone);regarder en arrière ou autour (trans.: qqn);;;;.
qivik;;2;v;i;a;;;;;;;to have one's own feelings hurt;être blessé dans ses sentiments;;;;.
quajaq;;1;v;i;;;;;;;;to slip on a slippery surface;glisser sur une surface glissante;;;;.
quaq;;1;v;i;a;;;;;;;to be frozen, speaking of meat or soft or liquid substance;être gelé, en parlant de viande ou d'une substance molle ou liquide;;;;.
qui;;1;v;i;;;;;;;;to piss, urinate;pisser, uriner;;;;.
quilirta;;1;v;i;a;;;;;;;to be afraid of the unseen or unknown;;;;;
quinak;;1;v;i;a;;;;;;;to be ticklish, to feel a tickling sensation;être chatouilleux;;;;
quini;;1;v;i;a;;;;;;;to be fat, stout, thick-set;être gras, corpulent;;;;.
quiqtuq;;1;v;i;;;;;;;;to cough;tousser;;;;.
quja;;1;v;i;a;;;;;gi/4vv;;to be thankful, grateful (trans.: to s.o.);être reconnaissant (trans.: envers qqn);;;;.
qukaq;;1;v;i;a;;;;;;;to be seen no more;;;;;
quksa;;1;v;i;a;;;;;;;to react nervously;réagir nerveusement;;;;.
qula;;1;v;i;;;;;;gi/4vv;;to doubt someone;douter de qqn;;;;.
quluaq;;1;v;i;a;;;;;;;to have one's stomach rumble, make noises;avoir l'estomac qui gargouille;;;;.
qumaq;;1;v;i;;;;;;;;to snuggle;;;;;
qumik;;1;v;i;;;;;;;;to hold a child inside one's tunic or shirt;tenir un enfant dans sa tunique;;;;.
qummasuk;;1;v;i;;;;;;;;to expect or anticipate something;s'attendre à qqch.;;;;
qungat;;1;v;i;;;;;;nil;;to smile (trans.: at s.o.);sourire (trans.: à qqn);;;;.
quniq;;1;v;i;a;;;;;;;to be stiff with cold;être rigide à cause du froid;;;;.
qunu;;1;v;i;;;;;;gi/4vv;;to draw back (trans.: from s.o. or s.t.);se retirer, s'éloigner (trans.: de qqn ou de qqch.);;;;.
quppiq;;1;v;i;;;;;;nil;;to part the hair of one's own head;;;;;
qupsuk;;1;v;i;a;;;;;;;to be squashed out of shape;;;;;
ququaq;;1;v;i;;;;;;nil;;to play the trumpet;;;;;
qursuq;;1;v;i;a;;;;;;;to be yellow;être de couleur jaune;;;;.
qusu;;1;v;i;;;;;;gi/4vv;;to pull back from s.t.;;;;;
qut;;1;v;i;a;;;;;;;to be sealed over;être scellé;;;;.
quttik;;1;v;i;a;;;;;;;to be high;être haut, élevé;;;;.
quviak;;1;v;i;e;;;;gusuk/1vv suk/1vv;gi/4vv;;to be happy, joyful;être heureux, joyeux;;;;.
saat;;1;v;i;a;;;;;;;to be thin;être mince;;;;.
sabvuq;;1;v;i;;;;;;;;to clunk or plink in the water when falling into it;faire un bruit sourd en tombant dans l'eau;;;;.
saglu;;1;v;i;;;;;;;;to lie;;;;;
saima;saimaq;1;v;i;a;;;;;;;to be calm, contented, at peace with oneself;être calme, satisfait, en paix avec soi-même;;;;.
saitaq;;1;v;i;;;;;;;;to play cards;jouer aux cartes;;;;.
sajuk;;1;v;i;;;;;;;;to tremble;;;;;
saka;;1;v;i;;;;;;;;to invoke the spirits;invoquer les esprits;;;;.
saksiq;;1;v;i;a;;;;;;;to be foggy, speaking of the weather;être brumeux (le temps);;;;.
sakuk;sakuuk;1;v;i;;;;;;;;to scrape off the inner skin from a pelt;gratter la peau intérieure d'une fourrure;;;;.
saliaq;;1;v;i;;;;;;;;to travel along the edge or border of some body of land or water;voyager sur le bord d'une pièce d'eau ou de terre;;;;.
salik;;1;v;i;;;;;;nil;;to wipe away;;;;;
sallaq;;1;v;i;a;;;;;;;to be void of water, speaking of the sea ice in the spring;être vide d'eau (la glace de mer au printemps);;;;.
salluk;;1;v;i;a;;;;;;;to be lean;;;;;
saluaq;;1;v;i;a;;;;;;;to have its liquid or moisture content dried out, evaporated;avoir son contenu liquide ou humide séché, évaporé;;;;.
saluk;;1;v;i;a;;;;;;;to be lean;;;;;
salumma;salummaq;1;v;i;a;;;;;;;to be clean;;;;;
sana;;1;v;i;;;;;;nil;;to work at something;;;;;
sangu;;1;v;i;;;;;;;;(1) to veer, to change direction (2) to change one's mind or to do s.t. not as usual;(1) changer de direction (2) changer d'idée ou faire qqch. d'inhabituel;;;;.
saniq;;1;v;i;;;;;;nil;;to sweep something off its dirt;balayer la poussière (trans.: de qqch.);;;;.
sanirarmik;;1;v;i;;;;;;nil;;to smooth s.t. with a plane;égaliser, lisser qqch. avec un rabot;;;;.
sanngi;;1;v;i;a;;;;;;;to be physically strong [WCHB;;;;;
sapi;;1;v;i;;;;;;;;to stop from doing s.t. or get incapable of doing s.t.;arrêter de faire qqch.;;;;
sapiq;;1;v;i;;;;;;nil;;(1) to give up on s.t. (2) to not feel in the mood to do s.t.;(1) laisser tomber;;;;
sapkut;;1;v;i;;;;;;nil;;to let go of s.t.;laisser aller qqch.;;;;.
sapu;;1;v;i;;;;;;;;to protect;protéger;;;;.
saqi;;1;v;i;;;;;;;;to veer or change direction, speaking of the wind;changer de direction (le vent);;;;.
sarat;;1;v;i;a;;;;;;;to be damp or clammily moist;être humide ou moite;;;;.
sarima;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to be delighted or happy over some new acquisition;être ravi ou heureux d'une nouvelle acquisition;;;;.
sarliaq;;1;v;i;;;;;;;;to be nestling or lying over something;être assis ou étendu sur qqch.;;;;.
sarpik;;1;v;i;;;;;;;;to point one's feet outwards;;;;;
sarvaq;;1;v;i;;;;;;;;to run down, to flow swiftly, speaking of a water course;descendre, courir (cours d'eau);;;;.
sau;;1;v;i;;;;;;;;to insulate an igloo by covering it with snow;isoler un iglou en le couvrant de neige;;;;.
sauniq;;1;v;i;;;;;;nil;;to hit bone (trans.: with s.t.);se frapper un os (trans.: avec qqch.);;;;.
savak;;1;v;i;;;;;;;;to squelch;faire un bruit de succion;;;;
saviaq;;1;v;i;;;;;;nil;;to scrape (trans.: s.t.) clear of dirt or debris;;;;;
savik;;1;v;i;a;;;;;;;to be fitted with a metal point, speaking of a harpoon or spear;avoir une pointe de métal fixée à son extrémité (un harpon ou une lance);;;;.
siaka;;1;v;i;;;;;;gi/4vv;;to worry about s.t.;s'inquiéter de qqch.;;;;.
siamak;;1;v;i;a;;;;;;;to be scattered or strewn about;être répandu, éparpillé;;;;.
siaqqit;;1;v;i;;;;;;;;to slip on something;glisser sur qqch.;;;;.
sigaq;;1;v;i;;;;;;;;to make a sharp cracking noise;faire un bruit sec claquant;;;;.
siggit;;1;v;i;;;;;;;;to separate or break off by being worked back and forth;se séparer ou se briser à force d'être tiré et poussé;;;;.
siirnak;;1;v;i;a;;;;;;;to be acidic in taste, tart, piquant, sickly sweet;être acide au goût, piquant;;;;.
siirtit;;1;v;i;;;;;;;;to well up from the edge of lake in winter, speaking of the water;remonter du bord du lac en hiver, en parlant de l'eau;;;;.
sikanga;;1;v;i;a;;;;;;;to act the fool;;;;;
siki;;1;v;i;;;;;;;;to look down at something;baisser le regard sur qqch.;;;;.
sikkik;;1;v;i;a;;;;;;;to be clear;;;;;
siku;;1;v;i;;;;;;;;to have become ice, speaking of the water;avoir tourné en glace (eau);;;;.
sikumngiq;;1;v;i;;;;;;;;to close one's eyes;fermer les yeux;;;;.
silik;;1;v;i;a;;;;;;;to be wide or broad;être large;;;;.
sillinguji;;1;v;i;a;;;;;;;to have indigestion or gas pains;avoir une indigestion ou des douleurs causées par des gaz;;;;.
siluk;;1;v;i;;;;;;nil;;to raise one's arm, to be about, ready to strike (trans.: s.o. or s.t.);lever la bras, être prêt à frapper (trans.: qqch. ou qqn);;;;.
singiq;;1;v;i;;;;;;nil;;to tie shoe-laces (trans.: of s.o.);attacher les lacets (trans.: de qqn);;;;.
singnaa;;1;v;i;a;;;;;;;to be jealous of someone due to infidelity;être jaloux de qqn pour cause d'infidélité;;;;.
singuk;;1;v;i;;;;;;;;to exert a pressure;exercer une pression;;;;.
sinik;sinak;1;v;i;;;;;;;;to sleep;dormir;;;;.
sipkiq;;1;v;i;;;;;;;;to fall out of joint (as bone from socket) or off its precarious balance;;;;;
siqiniq;;1;v;i;;;;;;;;to shine - said of the sun;briller, en parlant du soleil;;;;.
siqqit;;1;v;i;;;;;;;;to cross over from land to sea, from solid ice to moving ice, from less to more dangerous terrain;passer d'un endroit à un autre: de la terre à la mer, de la glace solide à la glace mouvante, d'un terrain moin dangereux à un terrain plus dangereux;;;;.
siqquq;;2;v;i;;;;;;;;to make a cracking or exploding sound;faire un bruit de craquement ou d'explosion;;;;.
siriaq;;1;v;i;a;;;;;;;to be partly dry or getting dry;être partiellement sec ou être en train de sécher;;;;.
sirliq;;1;v;i;a;;;;;;;to be dry or finished drying - said of a deerskin;être sec ou finir de sécher, en parlant d'une peau de cerf;;;;.
sisangiq;;1;v;i;a;;;;;;;to just start to feel warm - said of liquid after being put to heat;commencer à tiédir, en parlant d'un liquide qu'on vient de mettre à chauffer;;;;.
sitak;;1;v;i;a;;;;;;;to be stumped, stucked while playing solitaire or patience;être bloqué, alors qu'on joue au solitaire ou à la patience;;;;.
