morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,source,dialect,cf,END
nuluaq,,1,v,t,,,,,,,ri/1vv,to /catch or /snare s.t. in a net,/attraper qqch. dans un filet,,,,.
nuluaq,,1,n,,,,,,,,,fish net,filet de pêche,,,,.
nuluq,,1,n,,ana,,,,,,,rump,,,,,
nuluraq,,1,v,i,,,,,,nil,,to beckon s.o. to come by waving hand [WCHB],faire signe à qqn de venir en envoyant la main [WCHB],,,,.
numaa,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to be bored or frustrated,s'ennuyer,,,,
nuna,,1,n,,,,,,,,,(1) land (2) country,,,,,
nungut,,1,v,t,,,,,,,si/1vv,[-R]to /use s.t. up,,,,,
nuniq,,1,n,,zoo,,,,,,,female seal,phoque femelle,,,,.
nunivakkak,,1,n,,zoo,,,,,,,barren-land mouse,souris de la toundra,,,,.
nunniq,,1,n,,,,,,,,,new ice which forms onto solid ice,nouvelle glace qui se forme sur la glace solide,,,,.
nuqqaq,,1,v,i,,,,,,,,to stop doing s.t.,arrêter de faire qqch.,,,,.
nuqqit,,1,v,i,,,,,,,,to hold onto the line to prevent s.t. getting away,tenir la ligne pour empêcher qqch. de se sauver,,,,.
nurlu,,1,n,,,,,,,,,loop,boucle,,,,.
nurraq,,1,v,i,,,,,,,,to bag a fawn or calf,tuer un faon ou un veau,,,,.
nurraq,,1,n,,zoo,,,,,,,fawn,faon,,,,.
nursaq,,1,n,,,,,,,,,harpoon- or spear-throwing board,qqch. pour lancer un harpon ou une lance,,,,.
nussuk,,1,v,t,,,,,,,si/1vv i/1vv,[-R]to /pull or /tug s.t. repeatedly,[-R]/tirer ou /touer qqch. de façon répétée,,,,.
nusuk,,1,v,t,,,,,,,si/1vv i/1vv,[-R]to /pull or /tug s.t.,[-R]/tirer ou /touer qqch.,,,,.
nut,,1,v,i,,,,,,,,"(1) to change direction, to veer, speaking of the wind (2) to disappear due to ice forming between itself and the land, speaking of the floe edge","(1) changer de direction, virer (le vent) (2) disparaître (le bord de la banquise, lorsque la glace se forme entre le rivage et la banquise)",,,,.
nutaaq,,1,n,,,,,,,,,new thing,nouvelle chose,,,,.
nutaraq,,1,n,,,,,,,,,child,,,,,
nutibliq,,1,n,,,,,,,,,spot on skin,,,,,
nutik,,1,v,i,,,,,,,,to snap or crackle or crack,"claquer, craquer",,,,.
nutuqqut,,1,n,,ana,,,,,,,dimple,fossette,,,,.
nuut,,1,v,i,,,,,,,,to move to another place,se déplacer à un autre endroit,,,,.
nuvak,,1,n,,ana,,,,,,,spit,,,,,
nuvi,,1,v,t,,,,,,,ji/1vv,[-R]to /thread s.t.,[-R]/enfiler qqch.,,,,.
nuvirsaq,,1,v,i,,,,,,nil,,to knit (trans.: s.t.),tricoter (trans.: qqch.),,,,.
nuvuja,,1,v,i,,,,,,,,"to be overcast, cloudy","être couvert, nuageux",,,,.
nuvuja,,1,n,,,,,,,,,cloud,nuage,,,,.
nuvuk,,1,n,,,,,,,,,point,,,,,
paa,,1,v,i,,,,,,nil,,to fight,,,,,
paa,,1,n,,,,,,,,,opening,,,,,
paallak,,1,v,i,,,,,,,,to fall down,tomber,,,,.
paaq,,1,v,i,,,,,,nil,,to meet (trans.: s.o.),rencontrer (trans.: qqn),,,,.
paarnguq,,1,v,i,,,,,,,,to crawl (trans.: after s.t.),ramper (trans.: après qqch.),,,,.
paasiniq,,1,n,,ana,,,,,,,foreskin of penis [WCHB],prépuce [côte ouest de la Baie d'Hudson],,,,.
pablu,,1,n,,,,,,,,,handle of Inuit skin drum [WCHB],poignée de tambour inuit [côte ouest de la Baie d'Hudson],,,,.
paggiq,,1,v,t,,,,,,,i/1vv,to /cut or /wound s.o. with a dull or blunt instrument or object,/couper ou /blesser qqn avec un instrument ou un objet émoussé,,,,.
pagvisak,,1,v,i,,,,,,nil,,to rummage (trans.: in s.t.),"farfouiller, fouiller (trans.: qqch., dans qqch.)",,,,.
pai,,1,v,i,,,,,,ri/1vv,,to stay home,,,,,
paijjarluk,,1,v,i,,,,,,,,"to overlap, speaking of two things","se chevaucher, en parlant de deux choses",,,,.
pailat,,1,v,i,,,,,,,,"to boil by being heated, speaking of water",bouiller en étant chauffée (eau),,,,.
pajaq,,1,n,,,,,,,,,spirit,,,,,
pajuk,,1,v,i,,,,,,nil,,to give part of one's kill to s.o.,,,,,
pakallak,,1,v,i,,,,,,,,to run about from one thing to another in a heedless or incoherent manner,courir d'une chose à une autre de manière incohérente,,,,.
pakinik,,1,v,i,,,,,,nil,,to draw s.t. in towards oneself,,,,,
paktak,,1,v,i,,,,,,,,to play cards [WCHB],,,,,
paktak,,1,n,,,,,,,,,playing card [WCHB],carte à jouer [côte ouest de la Baie d'Hudson],,,,.
paktiq,,1,v,i,a,,,,,,,"to have bad skin, acne, impetago","avoir une mauvaise peau, de l'acné, de l'impétigo",,,,.
paktiq,,1,n,,,,,,,,,skin eruption,éruption cutanée,,,,.
palaq,,1,v,i,,,,,,,,"to get better, to improve","aller mieux, s'améliorer",,,,.
palaugaaq,,1,n,,,,,,,,,cooked flour,,,,,
paliaq,,1,v,i,,,,,,,,to toast or dry over flame or fire,rôtir ou sécher au-dessus d'une flamme ou d'un feu,,,,.
paliaq,,1,n,,,,,,,,,plate or platter [N. Baffin],"assiette ou plat, plateau [Terre de Baffin nord]",,,,.
paliq,,1,v,i,,,,,,,,"to die out, speaking of a flame",s'éteindre (une flamme),,,,.
palliq,,1,n,,,,,,,,,dead plant,,,,,
palluq,,1,v,i,,,,,,,,to lie on the belly,être étendu sur le ventre,,,,.
palungatti,,1,v,i,a,,,,,,,to have floppy ears,avoir des oreilles tombantes,,,,.
pamaq,,1,v,i,,,,,,,,to lie on the belly,être étendu sur le ventre,,,,.
pamiuq,,1,n,,ana,,,,,,,tail,,,,,
pammakkut,,1,n,,,,,,,,,packing,,,,,
pammiuq,,1,v,i,a,,,,,,,to be packed tightly,,,,,
pana,,1,n,,,,,,,,,snow-knife,couteau à neige,,,,.
panga,,1,v,i,,,,,,,,to gallop,galoper,,,,.
pangniq,,1,n,,zoo,,,,,,,bull caribou,caribou mâle,,,,.
panik,,1,n,,,,,,,,,daughter,fille (lien de parenté),,,,.
panikaq,,1,n,,,,,,,,,cup,,,,,
paniq,,1,v,i,a,,,,,,,to be dry,être sec,,,,.
pannaq,,1,n,,,,,,,,,dried willow or vegetation,saule séché,,,,
panngaiq,,1,v,t,,,,,,,si/1vv,to /lock or /fasten s.o. tightly,"/emprisonner, /lier, /attacher qqch. solidement",,,,.
papaaq,,1,n,,ana,,,,,,,placenta,placenta,,,,.
papat,,1,v,t,,,,,,,si/1vv,"[-R]to /mind s.t., to /look after s.t., to /take care of s.t. in absence of owner",[T]s'occuper de qqch. en l'absence du propriétaire[P]être dans l'état de qqn ou qqch. dont on s'occupe en l'absence du propriétaire,,,,.
papik,,1,n,,,,,,,,,(1) birds's tail (2) square-stern canoe,(1) queue d'oiseau (2) canoë avec un arrière (poupe) carrée,,,,.
papkujaq,,1,n,,,,,,,,,table knife,couteau de table,,,,.
paqi,,1,v,t,,,,,,,si/1vv,to /look after s.o. (a child) in absence of the parents,/garder qqn (un enfant) en l'absence des parents,,,,.
parla,,1,v,i,,,,,,nil,,to rush to be the first to get s.t.,"se dépêcher pour être le premier à avoir, obtenir qqch.",,,,.
parnaq,,1,v,i,,,,,,,,to get ready for a trip,se préparer pour un voyage,,,,.
paruq,,1,v,i,,,,,,nil,,"to paddle s.t. (boat, canoe,kayak, etc.)",pagayer (trans.: qqch.: embarcation),,,,.
pasa,pasi pasik pasak,1,v,i,e,,,,gusuk/1vv,gi/4vv,,"to suspect, to accuse s.o.","suspecter, accuser qqn",,,,.
patajuk,,1,v,i,,,,,,nil,,to feel s.t. over with the hands,sentir (trans.: qqch.) avec les mains,,,,.
patanga,,1,v,i,,,,,,,,to feel the cold easily,,,,,
pati,patiq,1,n,,,,,,,,,putty,mastic,,,,.
patik,,2,v,i,,,,,,,,to freeze completely,geler complètement,,,,.
patik,,1,v,t,,,,,,,i/1vv,to /slap s.o.,/frapper qqn de la main,,,,.
patiq,,1,v,i,,,,,,,,to eat marrow from the bone,manger la moëlle des os,,,,.
patiq,,1,n,,ana,,,,,,,bone marrow,moëlle d'os,,,,.
patuk,,1,v,i,a,,,,,,,to be covered with hoarfrost,être couvert de givre,,,,.
patuk,,1,n,,,,,,,,,hoarfrost [WCHB,,,,,
paugaarjuk,,1,n,,,,,,,,,canoe paddle,pagaie de canoë,,,,.
paugguaq,,1,v,t,,,,,,,si/1vv,[-R]to /support s.t.,,,,,
paugguaq,,1,n,,,,,,,,,peg,,,,,
pauk,,1,v,i,a,,,,,,,"to be sooty, dusty","être couvert de poussière, de suie",,,,.
pauk,,1,n,,,,,,,,,soot,,,,,
pauktuq,,1,v,t,,,,,,,i/1vv,to /stretch or /peg s.t. out in a drying rack or stretcher,/étirer ou /fixer qqch. sur un séchoir ou sur un cadre,,,,.
paumit,,1,v,i,,,,,,,,to itch lightly,,,,,
paunnat,,1,n,,,,,,,,,purple saxifrage in its non-blossoming state,saxifrage pourpre hors-floraison,,,,.
paupsuaq,,1,v,i,,,,,,nil,,to tickle (trans.: s.o.) lightly,chatouiller légèrement (trans.: qqn),,,,.
paurngag,,1,n,,,,,,,,,fruit,,,,,
pi,,1,v,i,,,,,,nil,,to do s.t.,,,,,
pi,,1,n,,,,,,,,,thing,chose,,,,.
piak,,1,v,i,a,,,,,,,to be smooth and frictionless,être lisse et sans adhérence,,,,.
piala,,1,v,i,a,,,,,,,"to be quick, light, deft in one's movement",être rapide dans ses mouvements,,,,.
pialaaq,,1,n,,zoo,,,,,,,birdling,,,,,
piaraq,,1,n,,zoo,,,,,,,birdling or baby bird,bébé oiseau,,,,.
piassaani,,1,n,,,,,,,,,toboggan,toboggan,,,,.
piblikanaq,,1,v,i,,,,,,nil,,to grimace or jeer at s.o.,faire une grimace à qqn,,,,.
pigaaq,,1,v,i,,,,,,,,to stay up late,rester debout tard,,,,.
pigagaaq,,1,v,i,a,,,,,,,to not be able to do s.t. completely or well,ne pas être capable de faire qqch. complètement ou bien,,,,.
piggu,,1,v,i,a,,,,,,,to be strong [Natt.],être fort [Natt.],,Natsilik,,.
pigjuq,,1,v,i,,,,,,,,"to move avay from the others, embarrassed by what they are saying or doing","s'éloigner des autres, embarassé, gêné de ce qu'ils disent ou font",,,,.
pigliq,,1,v,i,,,,,,,,to bounce,,,,,
pijjarik,,1,v,i,a,,,,,,,to be a lively or active person,,,,,
pijuaq,,1,v,i,,,,,,,,to travel in a north-east direction,voyager vers le nord-est,,,,.
piki,,1,v,i,,,,,,,,to dive down suddenly with characteristic flip of tail in the air,plonger soudainement avec un coup de queue caractéristique dans les airs,,,,.
pikiaq,,1,v,i,,,,,,,,to exit suddenly,sortir soudainement,,,,.
pikiqqa,,1,v,i,,,,,,,,to struggle to get away,"se débattre pour se sauver, se libérer",,,,.
pikiu,,1,n,,,,,,,,,bird's egg,oeuf d'oiseau,,,,.
pikkaq,,1,n,,,,,,,,,adept,,,,,
piksik,,1,v,t,,,,,,,si/1vv,to /propel s.t. out,,,,,
piktau,,1,v,i,a,,,,,,,"to be good, pleasant, to one's liking","être bon, plaisant, à son goût",,,,.
pikuk,,1,n,,ana,,,,,,,section of spine between shoulder blades,,,,,
pilak,,1,v,t,,,,,,,si/1vv,to /cut s.t. with a butcher knife,/couper qqch. avec un couteau de boucher,,,,.
pillatti,pillitti,1,v,i,a,,,,,,,to be sleepy,,,,,
pilli,,1,v,t,,,,,,,si/1vv,to /stop s.o. from doing something.,,,,,
pilluk,,1,v,i,,,,,,,,"to slide off or out of joint, or off a precarious balance",glisser de son articulation,,,,
piluq,,1,n,,,,,,,,,loose hair,cheveux défaits,,,,.
pingarnaq,pingarniq,1,n,,,,,,,,,the south-west,,,,,
pingasu,,1,n,,nb,,,,,,,numeral root: three,,,,,
pingik,,1,v,i,,,,,,,,to worry,s'inquiéter,,,,.
pingu,,1,v,t,,,,,,,nit/1vv,to push/ or shove/ s.o.,/pousser qqch.,,,,.
pinguq,,1,n,,,,,,,,,hill,,,,,
piniraq,,1,n,,,,,,,,,inner slipper,,,,,
pipikkaluamut,,1,a,,,,,,,,,due to doing so much,parce qu'on en fait trop,,,,.
pipsi,,1,n,,,,,,,,,dried fish [WCHB],poisson séché [côte ouest de la Baie d'Hudson],,,,.
piqaluujaq,,1,n,,,,,,,,,iceberg,iceberg,,,,.
piqanniq,,1,v,i,a,,,,,,,"to be a pleasant, considerate or helpful person",,,,,
piqata,,1,n,,,,,,,,,another one of the same kind,,,,,
piqqaaq,,1,v,i,a,,,,,,,to be stiff or rigid,être rigide,,,,.
piqqaq,,1,v,i,a,,,,,,,to be responsible for something that happened,être responsable de qqch. qui est arrivé,,,,.
pirit,,1,v,t,,,,,,,si/1vv,to /bend s.t. over,,,,,
pirjaallaq,,1,v,i,,,,,,,,to jolt or jerk in one's movement,"se crisper, tressauter d'un coup",,,,.
pirliq,,1,v,i,,,,,,,,to die of hunger or starvation,"mourir de faim, d'inanition",,,,.
pirluk,,1,v,i,,,,,,,,to have a miscarriage,faire une fausse couche,,,,.
pirniq,,1,n,,,,,,,,,crack,,,,,
pirpallaq,,1,v,i,,,,,,,,to make a noise with the clatter of putting down or placing or dropping objects,faire un bruit de cliquetis ou de fracas en déposant ou en laissant tomber qqch.,,,,.
pirpaluk,,1,v,i,,,,,,,,to make a noise with the movement of objects,faire un bruit en déplaçant des objets,,,,.
pirraaq,,1,n,,,,,,,,,(1) sled-runner shoe (2) braided or plaited line or rope,(1) patin de traîneau (2) ligne ou corde tressée,,,,.
pirraq,,1,v,i,,,,,,nil,,"to make braids, plaits",,,,,
pirruaqi,,1,v,i,,,,,,,,to do s.t. by accident,,,,,
pirsiq,,1,v,i,,,,,,,,to blizzard,,,,,
pirsiq,pirtuq,1,n,,,,,,,,,drifting snow,neige poudrante,,,,.
pirtarniq,,1,n,,ana,,,,,,,back of the knee,derrière du genou,,,,.
pirturaq,,1,v,t,,,,,,,si/1vv,[-R]to /graze s.t. (animal or game) with a shot,"[-R]/effleurer, /frôler qqn (animal, gibier) avec un projectile",,,,.
pirtursiraq,,1,n,,zoo,,,,,,,lynx,lynx,,,,.
piru,,1,v,t,,,,,,,i/1vv,to /put a weight on top of s.t. such that it is held down,,,,,
piru,,1,n,,,,,,,,,weight to hold s.t. down,poids pour retenir qqch.,,,,.
piruq,,1,v,i,,,,,,,,to grow,grandir,,,,
pisimi,,1,v,t,,,,,,,,"[-R]to /hold s.t. steady or in place, or from falling or moving","[-R]/tenir qqch. droit ou en place, ou /tenir qqch. pour qu'il ne tombe pas ou ne bouge pas",,,,.
pisiq,,1,n,,,,,,,,,song,chanson,,,,.
pisiti,,1,n,,,,,,,,,adept,,,,,
pisuk,,1,v,i,,,,,,nil,,to walk (trans.: on s.t.),marcher (trans.: sur qqch.),,,,.
pitaq,,1,v,i,a,,,,,,,to be punctured,,,,,
pitaq,,1,n,,,,,,,,,(1) hole,,,,,
pittiq,,1,v,i,a,,,,,,,to be furnished with a heavy cord or tongue,être équipé d'une corde épaisse,,,,.
pittiulaaq,,1,n,,zoo,,,,,,,arctic guillemot,,,,,
pituk,,1,v,t,,,,,,,,[-R](1) to /hitch s.t. (animal) to the sled (2) to /attach s.t. to the end of a cord,[-R](1)/attacher qqch. (un animal) à un traîneau (2)/attacher qqch. au bout d'une corde,,,,.
pituk,,1,n,,,,,,,,,sled tongue,attache de traîneau,,,,.
pituqqut,,1,n,,,,,,,,,charm or amulet,"charme, amulette",,,,
pituraq,,1,v,i,,,,,,,,"to swim to the open water of the floe edge, speaking of a sea mammal",nager vers le côté de la banquise tourné vers le large (mammifère marin),,,,.
piturniq,,1,v,i,,,,,,,,"to be flood time, time of  high tides",être le temps des grandes marées,,,,.
piu,,1,v,i,a,,,,,,,to be good,être bon,,,,.
piuli,,1,v,t,,,,,,,tsi/1vv,to /save or /rescue s.o.,"/sauver, /secourir, /délivrer qqn",,,,.
pivik,,1,v,i,,,,,,,,to trie hard to do or to get s.t.,essayer fort de faire ou d'avoir qqch.,,,,.
pua,,1,v,i,,,,,,,,"to make bubbles due to breathing or motion, speaking of a marine creature",faire des bulles en respirant ou en se déplaçant (créature marine),,,,.
pualuk,,1,n,,,,,,,,,mitt,mitaine,,,,.
puarrit,puarritik,1,n,,,,,,,,,shovel,pelle,,,,.
publaq,,1,v,i,a,,,,,,,to be inflated,être gonflé,,,,.
publaq,,1,n,,,,,,,,,air bubble,bulle d'air,,,,.
pui,,1,v,i,,,,,,,,"to come up to breathe, speaking of a marine creature",remonter pour respirer (créature marine),,,,.
puiguq,,1,v,i,,,,,,nil,,to forget (trans.: s.t.),oublier (trans.: qqch.),,,,.
puja,,1,n,,,,,,,,,rancid congealed oil or grease,huile ou graisse rance congelée,,,,.
pujjuk,,1,v,t,,,,,,,i/1vv,to /pinch s.t.,/pincer qqch.,,,,.
pujjuk,,1,n,,ana,,,,,,,finger-tip,bout des doigts,,,,.
pujjuq,,1,v,i,a,,,,,,,to have just got a hole in the sole of the boot,venir tout juste d'avoir un trou dans la semelle de sa botte,,,,.
pujuq,,1,n,,,,,,,,,(1) steam,,,,,
pukak,pukajaq,1,n,,,,,,,,,dry sandy snow,neige sèche sablonneuse,,,,.
pukiq,,2,n,,zoo,,,,,,,all-white caribou,,,,,
pukiq,,1,n,,,,,,,,,stripe or white marking on garment,bande ou marque blanche sur un vêtement,,,,.
pukta,,1,v,i,,,,,,,,to float on the water,flotter sur l'eau,,,,.
pukuk,,1,v,i,,,,,,nil,,to gobble or swallow s.t. whole,avaler qqch. tout rond,,,,.
pula,,1,v,i,,,,,,,,to go in,,,,,
pulaaq,,1,v,i,,,,,,nil,,to visit (trans.: s.o.),être en visite,,,,
pullat,,1,n,,,,,,,,,stone animal trap,trappe à animaux en pierre,,,,.
pungaq,,1,v,i,,,,,,,,to nod one's head up and down,,,,,
punguq,,1,n,,,,,,,,,dog in shaman's language,chien dans le langage des shaman,,,,.
punniq,,1,n,,,,,,,,,rendered deer or caribou back-fat,,,,,
puptuq,,1,v,i,,,,,,,,"to rise, speaking of the bread",lever (le pain),,,,.
purrilaaq,,1,v,i,,,,,,,,to bubble naturally,faire naturellement des bulles,,,,.
pusi,,1,n,,zoo,,,,,,,cat,chat,,,,.
pusikkaq,,1,v,i,,,,,,,,to fall forward hitting one's face,tomber par devant en se heurtant le visage,,,,.
pusit,,1,v,t,res,,,,,,i/1vv si/1vv,to /turn s.t. over,,,,,
puttuq,,1,n,,,,,,,,,hole in boot sole,trou dans une semelle de botte,,,,.
putu,,1,v,t,,,,,,,i/1vv ji/1vv,to /pierce s.t.,"/percer, /transpercer qqch.",,,,.
putu,,1,n,,,,,,,,,drilled or bored hole,,,,,
puukaq,,1,v,i,,,,,,,,"to bump as going over rough ground, speaking of a sled or vehicle","rebondir en se déplaçant sur un terrain rude (un traîneau, un véhicule)",,,,.
puuq,,1,v,t,,,,,,,i/1vv,"to /box, to /bag s.t.",,,,,
puuq,,1,n,,,,,,,,,container,,,,,
puut,,1,v,i,,,,,,,,to fall down limp,tomber le corps mou,,,,.
puvak,,1,n,,ana,,,,,,,lung,poumon,,,,.
puviq,,1,v,t,,,,,,,i/1vv si/1vv,to /blow or /inflate s.t.,/souffler ou /gonfler qqch.,,,,.
puviqquk,,1,v,i,,,,,,,,to feel the pinch or stinging sensation of touching s.t. cold,ressentir la sensation de piqûre en touchant qqch. de froid,,,,.
qaa,,1,n,,,,,,,,,top,,,,,
qaagursuq,,1,v,i,,,,,,,,"to cry, speaking of the sea-gull",crier (le goéland),,,,.
qaaq,,1,v,t,res,,,,,,si/1vv,to /burst or /explode s.t.,/crever qqch.,,,,
qaat,,1,v,i,,,,,,,,"to move out, speaking of the sea ice",s'éloigner (glace de mer),,,,.
qagaaq,,1,v,i,,,,,,,,to have white-caps,,,,,
qagarraq,,1,n,,,,,,,,,protuberance of whale's forehead,protubérance sur la tête d'une baleine,,,,.
qagaura,,1,v,i,,,,,,,,to die from burst lungs,mourir à bout de souffle,,,,.
qaggi,,1,v,i,,,,,,,,to celebrate,,,,,
qaggi,,1,n,,,,,,,,,feast house,maison de festivité,,,,.
qaglulik,,1,n,,zoo,,,,,,,arctic loon,huart plongeon arctique,,,,.
qagvik,,1,n,,zoo,,,,,,,wolverine,carcajou,,,,.
qai,,1,v,i,,,,,,,,(1) to come (2) to be brought,(1) venir (2) être apporté,,,,.
qaimnguq,,1,n,,,,,,,,,ice which adheres to the shore after main body of sea ice has gone,glace qui adhère au rivage après que la glace s'est retirée,,,,.
qairtuq,,1,n,,,,,,,,,rock or granite bluff or hill,promontoire ou colline de roc ou de granite,,,,.
qairulik,,1,n,,zoo,,,,,,,harp seal,phoque du Groenland,,,,.
qajaq,,1,n,,,,,,,,,kayak or man's hunting boat,kayak ou embarcation de chasse pour l'homme,,,,.
qajjujjau,,1,v,i,a,,,,,,,to be stranded on the moving ice,"être échoué, laissé en plan sur la glace flottante",,,,.
qajuq,,1,n,,,,,,,,,gravy,,,,,
qak&i,qak&it,1,n,,ana,,,,,,,scab,"croûte, escarre d'une blessure",,,,.
qak&uttuq,,1,n,,zoo,,,,,,,mallard,,,,,
qakalaaq,,1,n,,,,,,,,,child [ECHB],enfant [côte est de la Baie d'Hudson],,,,.
qaki,,1,v,i,,,,,,,,"to climp up on the sea ice, speaking of the seal or walrus",sauter sur la glace de mer (un phoque ou un morse),,,,.
qakiq,,1,v,i,a,,,,,,,"to be bleached in the sun, in the air","être blanchi par le soleil, par l'air",,,,.
qakkit,,1,v,i,a,,,,,,,to be revolting to the taste or smell,être révoltant au goût ou à l'odeur,,,,.
qakkugu,,1,a,,,,,,,,,when (in the future),quand (dans l'avenir),,,,.
qakkutikkut,,1,a,,,,,,,,,from time to time,,,,,
qakuaq,qakulaaq,1,v,i,,,,,,,,to make chomping noise with jaws and teeth,mâcher bruyamment,,,,.
qakuq,,1,v,i,a,,,,,,,to be white,,,,,
qalaaq,,1,v,i,,,,,,,,to boil or bubble by being heated,bouillir ou faire des bulles en étant chauffé,,,,.
qalaaq,,1,n,,,,,,,,,bubble in boiling or heated liquid,bulle dans un liquide bouillant ou chauffé,,,,.
qalaasiq,,1,n,,ana,,,,,,,belly button,nombril,,,,.
qaliraq,,1,n,,,,,,,,,footstep,,,,,
qalu,,1,v,t,,,,,,,si/1vv,[-R]to /dipper s.t.,,,,,
qama,,1,v,i,,,,,,,,to try to approach whales while hunting on the sea,tenter d'approcher les baleines lors de la chasse en mer,,,,.
qamaniq,,1,n,,,,,,,,,inland bay,,,,,
qamaq,,1,v,i,,,,,,nil,,to call dogs to oneself,appeler les chiens à soi,,,,.
qamit,,1,v,t,res,,,,,,si/1vv,[-R]to /put or /turn s.t. (a light) out,,,,,
qamngui,,1,v,i,,,,,,,,to snore,ronfler,,,,.
qamuraji,,1,n,,ana,,,,,,,wisdom tooth,dent de sagesse,,,,.
qamut,,1,n,,,,,,,,,"(1) sled runner (2) ""six"" in pack of playing cards","(1) patin de traîneau (2) le ""six"" dans un paquet de cartes à jouer",,,,.
qanak,,1,v,t,,,,,,,si/1vv i/1vv,[-R]to /raise s.t. (a tent) with an upright or pole,[-R]/lever qqch. (une tente) avec un montant ou une perche,,,,.
qanak,,1,n,,,,,,,,,tent upright or tent-pole,pôteau de tente,,,,.
qanga,,1,a,,,,,,,,,when (in the past),quand (dans le passé),,,,.
qangaaluk,,1,v,i,,,,,,,,"to fall from the ceiling, speaking of the frost",tomber du plafond (le givre),,,,.
qangaaluk,,1,n,,,,,,,,,fine snow or frost which falls from ceiling of igloo,neige fine ou frimat qui tombe du plafond d'un iglou,,,,.
qangalik,,1,v,i,,,,,,,,to fall from the sifter,,,,,
qangata,qangataq,1,v,i,a,,,,,,,"to lift, to raise in the air",,,,,
qangiaq,,1,n,,,,,,,,,man's brother's child,,,,,
qangiq,,1,v,i,,,,,,nil,,to go past or beyond s.o.,passer qqch.,,,,
qangivaq,,1,v,i,,,,,,,,to go ashore from boat,,,,,
qangmalliq,,1,v,i,,,,,,,,to come to trade from a distance,venir de loin pour marchander,,,,.
qanguq,,1,v,i,,,,,,,,to leave,,,,,
qanima,,1,v,i,a,,,,,,,to be sick [N. Baffin],être malade [Terre de Baffin nord],,,,.
qaniq,,1,n,,ana,,,,,,,mouth,bouche,,,,.
qanit,,1,v,i,a,,,,,,,"to be near, close",être près,,,,.
qannga,,1,v,i,,,,,,,,"to have backed up against the solid ice, speaking of the moving ice",s'être recollé à la glace solide (la glace flottante),,,,.
qanniq,,1,v,i,,,,,,,,to be snowing,neiger,,,,.
qanniq,,1,n,,,,,,,,,falling snow,neige qui tombe,,,,.
qanuit,,1,v,i,a,,,,,,,"to have s.t. wrong (problem, malfunction, etc.)","avoir qqch. qui ne marche pas (un problème, un mauvais fonctionnement, etc.)",,,,.
qanunga,,1,v,i,,,,,,,,to bully or torment s.o.,"tyranniser, tourmenter qqn",,,,.
qanuq,,1,a,,,,,,,,,how,comment,,,,.
qapak,,1,n,,ana,,,,,,,foreskin of penis [Natt.],prépuce [Natt.],,,,.
qapillak,,1,v,i,a,,,,,,,to be bored,,,,,
qapiq,,1,v,i,,,,,,,,to scrape the fat from the skin of a land animal,gratter le gras de la peau d'un animal terrestre,,,,.
qaplu,,1,n,,ana,,,,,,,eye-brow,sourcil,,,,.
qapsit,,1,n,,nb,p,qapsi,,,,,how many,combien,,,,.
qaptiq,,1,v,i,a,,,,,,,"to be gradually extinguished, speaking of the flame or fire",être graduellement éteint (flamme ou feu),,,,.
qapuk,qapuaq,1,n,,,,,,,,,foam,,,,,
qaqaqaala,,1,v,i,,,,,,,,"to cry, speaking of the loon",crier (le canard huard),,,,.
qaqqa,,1,n,,,,,,,,,hill,,,,,
qar&u,,1,n,,ana,,,,,,,lower lip,,,,,
qaritaq,,1,n,,ana,,,,,,,brain,cerveau,,,,.
qarjiq,,1,v,i,,,,,,nil,,to be loaded with bullets,,,,,
qarjuk,,1,n,,,,,,,,,arrow,,,,,
qarlik,,1,n,,,,,,,,,pant,,,,,
qarmaq,,1,n,,,,,,,,,sod house,maison en tourbe,,,,.
qarsauq,,1,n,,zoo,,,,,,,red-throat loon,huart plongeon catmarin,,,,.
qaruviq,,1,v,i,a,,,,,,,to be scraped to be thinned before being put out to dry,être gratté pour être aminci avant d'être mis à sécher,,,,.
qasaagaq,,1,n,,,,,,,,,rotten fish [N. Baffin],poisson pourri [Terre de Baffin nord],,,,.
qasigiaq,,1,n,,zoo,,,,,,,ranger or fresh-water seal,phoque commun,,,,.
qasili,,1,v,i,a,,,,,,,"to be stingy or smarty, speaking of a cut or abrasion","picoter, piquer, brûler, faire mal (une coupure, une éraflure, etc.)",,,,.
qasu,,1,v,t,res,,,,,,,"to /loosen, /slacken, /relax s.t.","[-R]/relâcher, /desserrer qqch. [R]se relâcher, se desserrer",,,,.
qatait,,1,v,i,a,,,,,,,to have a high-pitched or shrill voice,,,,,
qatanga,qatangarik,1,v,i,a,,,,,,,to be bright and dazzling,être éclatant et éblouissant,,,,.
qatangaq,,1,v,i,a,,,,,,,to have a pale or white face,"avoir le visage blanc, pâle",,,,.
qatigak,,1,n,,ana,,,,,,,upper part of body,,,,,
qatitu,,1,v,i,a,,,,,,,to have a low-pitched or deep voice,,,,,
qattaq,,1,n,,ana,,,,,,,bird's breast,poitrine d'un oiseau,,,,.
qattaq,,2,n,,,,,,,,,swing-handled pot,marmite avec une poignée flottante,,,,.
qattik,,1,v,i,a,,,,,,,to protrude,,,,,
qatut,,1,v,i,,,,,,,,to play the drum,jouer du tambour,,,,.
